"NOM,N,4,0","PRSTR,N,4,0","CODE,C,5","NAME,C,254","NAME1,C,254"
1,20,,"Часть 1. Процентные доходы, доходы от корректировок и от восстановления (уменьшения) резервов на возможные потери",
2,20,,Раздел 1. Процентные доходы,
3,20,,"1. По предоставленным кредитам и кредитам, права требования по которым приобретены:",
4,10,11101,Минфину России,
5,10,11102,финансовым органам субъектов Российской Федерации и органов местного самоуправления,
6,10,11103,государственным внебюджетным фондам Российской Федерации,
7,10,11104,внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления,
8,10,11105,"финансовым организациям, находящимся в федеральной собственности",
9,10,11106,"коммерческим организациям, находящимся в федеральной собственности",
10,10,11107,"некоммерческим организациям, находящимся в федеральной собственности",
11,10,11108,"финансовым организациям, находящимся в государственной (кроме федеральной) собственности",
12,10,11109,"коммерческим организациям, находящимся в государственной (кроме федеральной) собственности",
13,10,11110,"некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности",
14,10,11111,негосударственным финансовым организациям,
15,10,11112,негосударственным коммерческим организациям,
16,10,11113,негосударственным некоммерческим организациям,
17,10,11114,индивидуальным предпринимателям,
18,10,11115,гражданам (физическим лицам),
19,10,11116,юридическим лицам - нерезидентам,
20,10,11117,физическим лицам - нерезидентам,
21,10,11118,кредитным организациям,
22,10,11119,банкам-нерезидентам,
23,10,11120,иностранным государствам,
24,120,11100,Итого по символам 11101 - 11120,
25,20,,"2. По прочим размещенным средствам, в том числе по прочим приобретенным правам",
26,10,11201,в Минфине России,
27,10,11202,в финансовых органах субъектов Российской Федерации и органов местного самоуправления,
28,10,11203,в государственных внебюджетных фондах Российской Федерации,
29,10,11204,во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления,
30,10,11205,"в финансовых организациях, находящихся в федеральной собственности",
31,10,11206,"в коммерческих организациях, находящихся в федеральной собственности",
32,10,11207,"в некоммерческих организациях, находящихся в федеральной собственности",
33,10,11208,"в финансовых организациях, находящихся в государственной (кроме федеральной) собственности",
34,10,11209,"в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности",
35,10,11210,"в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности",
36,10,11211,в негосударственных финансовых организациях,
37,10,11212,в негосударственных коммерческих организациях,
38,10,11213,в негосударственных некоммерческих организациях,
39,10,11214,в юридических лицах - нерезидентах,
40,10,11215,в кредитных организациях,
41,10,11216,в банках-нерезидентах,
42,10,11217,в Банке России,
